merk,type,price,detail,kursi,CC,BBM,link_img
Mercedes,Benz G-Class AMG G 63,566000000,"5 Kursi, 5980 cc, 603 hp, Bensin",5 Kursi,5980 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/902/mercedes-benz-amg-gt-front-angle-low-view-182635.jpg
Mercedes,Benz V-Class V 260 LWB,156000000,"7 Kursi, 1991 cc, 211 hp, Bensin",7 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/211/mercedes-benz-g-class-front-angle-low-view-672434.jpg
Mercedes,Benz V-Class V 260 XLWB,156000000,"7 Kursi, 1991 cc, 211 hp, Bensin",7 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/1340/mercedes-benz-v-class-front-angle-low-view-449066.jpg
Mercedes,Benz V-Class V 250 Avantgarde Line,173000000,"7 Kursi, 1991 cc, 211 hp, Bensin",7 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/1340/mercedes-benz-v-class-front-angle-low-view-449066.jpg
Mercedes,Benz A-Class A 200 Progressive Line,700000000,"5 Kursi, 1332 cc, 163 hp, Bensin",5 Kursi,1332 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/198/mercedes-benz-a-class-front-angle-low-view-215356.jpg
Mercedes,Benz A-Class AMG A 35 4MATIC,122000000,"5 Kursi, 1998 cc, 302 hp, Bensin",5 Kursi,1998 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/198/mercedes-benz-a-class-front-angle-low-view-215356.jpg
Mercedes,Benz GLC-Class 200 Exclusive Line,102000000,"5 Kursi, 1991 cc, 184 hp, Bensin",5 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/903/mercedes-benz-glc-class-front-angle-low-view-148156.jpg
Mercedes,Benz GLC-Class 200 AMG Line,106000000,"5 Kursi, 1991 cc, 184 hp, Bensin",5 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/903/mercedes-benz-glc-class-front-angle-low-view-148156.jpg
Mercedes,Benz GLC-Class 300 Coupe 4MATIC AMG Line,143000000,"4 Kursi, 1991 cc, 245 hp, Bensin",4 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/903/mercedes-benz-glc-class-front-angle-low-view-148156.jpg
Mercedes,Benz GLC-Class AMG 43 4MATIC Coupe,176000000,"5 Kursi, 2996 cc, 362 hp, Bensin",5 Kursi,2996 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/903/mercedes-benz-glc-class-front-angle-low-view-148156.jpg
Mercedes,Benz GLA-Class 200 Urban Line,779000000,"5 Kursi, 1595 cc, 156 hp, Bensin",5 Kursi,1595 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/208/mercedes-benz-gla-class-front-angle-low-view-278205.jpg
Mercedes,Benz GLA-Class 200 AMG Line,775000000,"5 Kursi, 1595 cc, 154 hp, Bensin",5 Kursi,1595 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/208/mercedes-benz-gla-class-front-angle-low-view-278205.jpg
Mercedes,Benz GLA-Class AMG 35 4Matic,119000000,"5 Kursi, 1991 cc, 306 hp, Bensin",5 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/208/mercedes-benz-gla-class-front-angle-low-view-278205.jpg
Mercedes,Benz GLS-Class 400 4MATIC AMG Line,215000000,"7 Kursi, 2996 cc, 333 hp, Bensin",7 Kursi,2996 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/1511/mercedes-benz-gls-class-front-angle-low-view-486896.jpg
Mercedes,Benz GLS-Class 450 4Matic AMG Line,235000000,"7 Kursi, 2999 cc, 367 hp, Bensin",7 Kursi,2999 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/1511/mercedes-benz-gls-class-front-angle-low-view-486896.jpg
Mercedes,Benz GLS-Class AMG GLS 63,523000000,"7 Kursi, 5461 cc, 430 hp, Bensin",7 Kursi,5461 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/1511/mercedes-benz-gls-class-front-angle-low-view-486896.jpg
Mercedes,Benz S-Class S 450 4Matic Luxury,2500000000,"4 Kursi, 2999 cc, 367 hp, Bensin",4 Kursi,2999 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/204/mercedes-benz-s-class-front-angle-low-view-127879.jpg
Mercedes,Benz S-Class Maybach S 580 4Matic+,588000000,"4 Kursi, 3982 cc, 503 hp, Bensin",4 Kursi,3982 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/204/mercedes-benz-s-class-front-angle-low-view-127879.jpg
Mercedes,Benz E-Class AMG E 63 S 4MATIC+,0,"5 Kursi, 5461 cc, 577 hp, Bensin",5 Kursi,5461 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/1510/mercedes-benz-e-class-front-angle-low-view-145607.jpg
Mercedes,Benz E-Class E 200 Avantgarde Line,108000000,"5 Kursi, 1991 cc, 197 hp, Bensin",5 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/1510/mercedes-benz-e-class-front-angle-low-view-145607.jpg
Mercedes,Benz E-Class E 300 SportStyle Avantgarde Line,1300000000,"5 Kursi, 1991 cc, 258 hp, Bensin",5 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/1510/mercedes-benz-e-class-front-angle-low-view-145607.jpg
Mercedes,Benz E-Class E 350 AMG Line,152000000,"5 Kursi, 1991 cc, 299 hp, Bensin",5 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/1510/mercedes-benz-e-class-front-angle-low-view-145607.jpg
Mercedes,Benz E-Class E 300 Coupe AMG Line,168000000,"5 Kursi, 1991 cc, 245 hp, Bensin",5 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/1510/mercedes-benz-e-class-front-angle-low-view-145607.jpg
Mercedes,Benz E-Class E300e AMG Line,192000000,"5 Kursi, 1991 cc, 211 hp, Bensin",5 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/1510/mercedes-benz-e-class-front-angle-low-view-145607.jpg
Mercedes,Benz E-Class AMG E 43 4MATIC,211000000,"5 Kursi, 1950 cc, 211 hp, Bensin",5 Kursi,1950 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/1510/mercedes-benz-e-class-front-angle-low-view-145607.jpg
Mercedes,Benz GLB-Class GLB Edition 50,0,"7 Kursi, 1332 cc, 163 hp, Bensin",7 Kursi,1332 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/2360/mercedes-benz-glb-class-front-angle-low-view-432106.jpg
Mercedes,Benz GLB-Class 200 Progressive Line,975000000,"7 Kursi, 1332 cc, 163 hp, Bensin",7 Kursi,1332 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/2360/mercedes-benz-glb-class-front-angle-low-view-432106.jpg
Mercedes,Benz AMG A35 2.0L,104000000,"5 Kursi, 1991 cc, 306 hp, Bensin",5 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/2280/mercedes-benz-amg-a35-front-angle-low-view-447861.jpg
Mercedes,Benz C-Class Cabriolet 2.0L,132000000,"4 Kursi, 1991 cc, 204 hp, Bensin",4 Kursi,1991 cc,Bensin,https://imgcdn.oto.com/large/gallery/exterior/25/2281/mercedes-benz-c-class-cabriolet-front-angle-low-view-827245.jpg
