brand,city,dealer_name,address,link_maps
isuzu,magelang,PT. ARMADA INTERNATIONAL MOTOR,"JL. SOEKARNO-HATTA, Magelang","http://maps.google.com/?q=-7.49501,110.231477"
isuzu,malang,PT. AI-ISUZU SALES OPERATION,"JL. SUNANDAR PRIYOSUDARMO NO. 40, Malang","http://maps.google.com/?q=-7.95238,112.646119"
isuzu,manado,PT. AI-ISUZU SALES OPERATION,"JL. WOLTER MONGINSIDI 123 A MALALAYANG, Manado","http://maps.google.com/?q=1.45921,124.803091"
isuzu,mataram,PT. PRIMAPUTRA ADIWAHANA,"JL. AA GDE NGURAH  74 CAKRANEGARA NTB, Mataram","http://maps.google.com/?q=-8.590886,116.129463"
isuzu,mojokerto,CV. DWI JAYA MOTOR,"JL. JAYANEGARA 179 A, Mojokerto","http://maps.google.com/?q=-7.491451,112.446598"
isuzu,palangka raya,PT. BORNEO AUTO CEMERLANG,"JL. TJILIK RIWUT KM 2,5 NO.134B, Palangka Raya","http://maps.google.com/?q=-16.64677,-49.40929"
isuzu,palu,PT. BUANA PERKASA PERMAI,"JL. YOS SUDARSO 88, Palu","http://maps.google.com/?q=-0.868809,119.877274"
isuzu,pasuruan,PT. AI-ISUZU SALES OPERATION,"DS. NGETAL BLOK D110 RT 06 / RW 14. KARANGREJO - GEMPOL, Pasuruan","http://maps.google.com/?q=-7.584898,112.694355"
isuzu,pekalongan,PT. AI-ISUZU SALES OPERATION,"JL. KH MAS MANSYUR 66, Pekalongan","http://maps.google.com/?q=-6.89328,109.666936"
isuzu,pontianak,PT. BORNEO AUTO CEMERLANG,"JL. PAHLAWAN No.2-3, Pontianak","http://maps.google.com/?q=-0.040348,109.346819"
isuzu,salatiga,PT. KARYA ZIRANG UTAMA,"JL. OSAMALIKI 24A, Salatiga","http://maps.google.com/?q=-7.329819,110.495673"
isuzu,samarinda,PT. AI-ISUZU SALES OPERATION,"JL. K.H. WAHID HASYIM, Samarinda","http://maps.google.com/?q=-0.456686,117.151953"
isuzu,serang,PT. AI-ISUZU SALES OPERATION,"RUKO SABAR INDAH JL. RAYA SERANG KM 5 NO.14i DESA SERDANG KEC. KRAMATWATU SERANG, Serang, 42616","http://maps.google.com/?q=-6.0365,106.1177"
isuzu,sorong,PT. BORNEO AUTO CEMERLANG,"JL. BASUKI RAHMAT KM. 8 RT. 01 / RW. 08, Sorong","http://maps.google.com/?q=-1.89815,30.095066"
isuzu,sragen,PT. AI-ISUZU SALES OPERATION,"JL. SOLO - SRAGEN KM. 6, SUKOREJO DUYUNGAN, Sragen, 57281","http://maps.google.com/?q=-7.54076,110.81977"
isuzu,subang,PT. AUTO CIPTA KARYA,"JL. RAYA PANTURA KM. 8 DS. KRAJAN. KEL. BATANGSARI. KEC. SUKASARI, Subang","http://maps.google.com/?q=-0.754445,133.813692"
isuzu,tegal,PT. KARYA ZIRANG UTAMA,"JL. CIPTO MANGUNKUSUMO 218A, Tegal","http://maps.google.com/?q=-6.866312,109.132817"
isuzu,tuban,PT. BUANA PERKASA PERMAI,"JL. TEUKU UMAR NO.6, Tuban, 62314","http://maps.google.com/?q=-0.52711,117.10739"
suzuki,bandung,Nusantara Jaya Sentosa Dago,"Jl. Ir. H. Juanda (Dago) No. 75, Bandung","http://maps.google.com/?q=-6.886059,107.613707"
suzuki,bekasi,Trimitra Sejahtera Mobilindo,"Jl. Raya Imam Bonjol No. 106, Bekasi, 17530","http://maps.google.com/?q=-6.273777,107.102604"
suzuki,bogor,Sejahtera Buana Trada - Parung,"Jl. Raya Parung Bogor Blok C No. 49, Bogor, 16330","http://maps.google.com/?q=-6.417815,106.733601"
suzuki,denpasar,Suzuki Puma,"Jl. Cokroaminoto No. 434, Denpasar","http://maps.google.com/?q=-8.617452,115.195403"
suzuki,depok,DUTA CENDANA ADIMANDIRI,"Jl. Cinere Raya No 32, Cinere Depok, Depok","http://maps.google.com/?q=-6.33959,106.780551"
suzuki,jakarta barat,Sun Motor Jakarta,"Jl. Tanjung Duren Raya No. 24, Tanjung Duren, Jakarta Barat, Jakarta Barat, 11470","http://maps.google.com/?q=-6.181154,106.783439"
suzuki,jakarta pusat,Restu Mahkota Karya,"Jl. K.H. Hasyim Azhari No. 11, Jakarta Pusat","http://maps.google.com/?q=-6.165666,106.812345"
suzuki,jakarta selatan,ASR PS Minggu,"Jl. Mujair Raya TB. Simatupang No. 25, Jakarta Selatan","http://maps.google.com/?q=-6.298155,106.833856"
suzuki,jakarta timur,Sejahtera Buana Trada,"Jl. MT. Haryono Kav. 8 Wisma Indomobil I, Jakarta Timur, 13330","http://maps.google.com/?q=-6.24264,106.86311"
suzuki,jakarta utara,Suzuki Kelapa Gading Armada Perkasa Mobilindo,"Jl. Boulevard Barat Blok XC No. C1, Kelapa Gading, RT.15/RW.3, Kelapa Gading Barat, Kelapa Gading, RT.15/RW.3, West Kelapa Gading, Jakarta Utara, 14240","http://maps.google.com/?q=-6.155976,106.895001"
suzuki,makassar,MEGAHPUTRA SEJAHTERA,"Jl. AP. Pettarani No. 114, Makassar, 90222","http://maps.google.com/?q=-5.155348,119.436388"
suzuki,medan,Suzuki Ada Jadi Mobil,"Jl. Gatot Subroto No.18-22, Petisah Tengah, Kec. Medan Bar, Medan, 20231","http://maps.google.com/?q=3.591339,98.671539"
suzuki,palembang,Nusa Sarana Citra Bakti,"Jl. Bangau No. 18, Palembang","http://maps.google.com/?q=-2.967561,104.766151"
suzuki,pekanbaru,Suzuki Sejahtera Buana Trada Jl. Riau Pekanbaru,"Jl. Riau, No 51 - 51 A, Pekanbaru, 28292","http://maps.google.com/?q=0.51487,101.441078"
suzuki,semarang,Sunmotor Indosentra Trada,"Jl. Majapahit No. 567, Semarang, 50246","http://maps.google.com/?q=-7.012365,110.474802"
suzuki,surabaya,Suzuki Sejahtera Buana Trada Manyar Kertoarjo Surabaya,"Jl. Manyar Kertoarjo No 20, Surabaya, 60116","http://maps.google.com/?q=-7.279674,112.762681"
suzuki,surakarta,Solo Indonesia Utama,"Jl. Slamet Riyadi No. 89, Surakarta","http://maps.google.com/?q=-7.564639,110.803658"
suzuki,tangerang,Indomobil Multi Trada,"Jl. Binong Raya No.9 Karawaci, Jl. Raya Binong No.9, Tangerang, Tangerang, 15810","http://maps.google.com/?q=6.2277063,106.5917992"
suzuki,tangerang selatan,CITRA ASRI BUANA,"Jl. RE. Martadinata No. 59, Cipayung, Ciputat, Tangerang Selatan, 15411","http://maps.google.com/?q=-6.329667,106.747883"
suzuki,yogyakarta,Sumber Baru Mobil,"Jl. Magelang 113-177 RT/RW 017/04 Kricak Tegalrejo, Yogyakarta, 55242","http://maps.google.com/?q=-7.774182,110.361192"
suzuki,badung,Top Motor,"Jl. By Pass Ngurah Rai No 53, Nusa Dua, Badung, 80363","http://maps.google.com/?q=-8.780361,115.180092"
suzuki,balikpapan,Samekarindo Indah,"Jl. Soekarno Hatta Km. 3, Blok B 12,13,14 Rt. 13 Somber, Balikpapan","http://maps.google.com/?q=-1.269767,116.836171"
suzuki,banda aceh,Suzuki IJMG Peunayong,"Jl. T. Panglima Polem No. 158-164. Kel. Laksana, Kec. Kuta Alam,, Banda Aceh","http://maps.google.com/?q=5.55888,95.32123"
suzuki,bandar lampung,Persada Lampungraya,"Jl. P. Diponegoro No. 8Bd, Bandar Lampung, 35132","http://maps.google.com/?q=-5.431616,105.261728"
suzuki,bangka tengah,JAGORAWI MOTOR  Bangka,"Jl.Raya Koba, Pangkalan Baru, , Bangka Tengah, 33684","http://maps.google.com/?q=-2.16861,106.13704"
suzuki,banjarmasin,Mitra Megah Profitamas Pemurus Luar,"Jl. A. Yani KM 5.5 No. 1 RT 22 RW 02 Kel. Pemurus Luar, Banjarmasin, 70249","http://maps.google.com/?q=-23.957589,-51.915561"
suzuki,banyuwangi,Sejahtera Buana Trada  Kebalenan,"Jl. Brawijaya No 69 Kebalenan, Banyuwangi, 68417","http://maps.google.com/?q=-8.22997,114.349545"
